step 0, train : gen_loss is 0.68236, disc_loss is 2.46087,, cls_loss is 2.73849
step 10, train : gen_loss is 0.692337, disc_loss is 2.0827,, cls_loss is 2.70688
step 20, train : gen_loss is 0.693124, disc_loss is 2.07957,, cls_loss is 2.70436
step 30, train : gen_loss is 0.693116, disc_loss is 2.07945,, cls_loss is 2.69768
step 40, train : gen_loss is 0.69312, disc_loss is 2.07947,, cls_loss is 2.69475
step 50, train : gen_loss is 0.693138, disc_loss is 2.07943,, cls_loss is 2.69444
step 60, train : gen_loss is 0.69314, disc_loss is 2.07945,, cls_loss is 2.69365
step 70, train : gen_loss is 0.693143, disc_loss is 2.07945,, cls_loss is 2.69338
step 80, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69372
step 90, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69326
step 100, train : gen_loss is 0.693142, disc_loss is 2.07944,, cls_loss is 2.69308
step 110, train : gen_loss is 0.69314, disc_loss is 2.07945,, cls_loss is 2.69302
step 120, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69302
step 130, train : gen_loss is 0.693108, disc_loss is 2.07944,, cls_loss is 2.69305
step 140, train : gen_loss is 0.693141, disc_loss is 2.07944,, cls_loss is 2.69303
step 150, train : gen_loss is 0.693142, disc_loss is 2.07944,, cls_loss is 2.693
step 160, train : gen_loss is 0.693142, disc_loss is 2.07941,, cls_loss is 2.69301
step 170, train : gen_loss is 0.693138, disc_loss is 2.07944,, cls_loss is 2.693
step 180, train : gen_loss is 0.693143, disc_loss is 2.07945,, cls_loss is 2.69361
step 190, train : gen_loss is 0.693141, disc_loss is 2.07944,, cls_loss is 2.69413
step 200, train : gen_loss is 0.693129, disc_loss is 2.07946,, cls_loss is 2.69337
step 210, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.6932
step 220, train : gen_loss is 0.693144, disc_loss is 2.07945,, cls_loss is 2.69322
step 230, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69319
step 240, train : gen_loss is 0.693144, disc_loss is 2.07943,, cls_loss is 2.69304
step 250, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69301
step 260, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.693
step 270, train : gen_loss is 0.693142, disc_loss is 2.07944,, cls_loss is 2.693
step 280, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69299
step 290, train : gen_loss is 0.693117, disc_loss is 2.07951,, cls_loss is 2.69373
step 300, train : gen_loss is 0.69312, disc_loss is 2.07944,, cls_loss is 2.69381
step 310, train : gen_loss is 0.693135, disc_loss is 2.07944,, cls_loss is 2.69321
step 320, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69305
step 330, train : gen_loss is 0.693142, disc_loss is 2.07944,, cls_loss is 2.69302
step 340, train : gen_loss is 0.693141, disc_loss is 2.07944,, cls_loss is 2.69328
step 350, train : gen_loss is 0.693104, disc_loss is 2.07944,, cls_loss is 2.69311
step 360, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69311
step 370, train : gen_loss is 0.693135, disc_loss is 2.07944,, cls_loss is 2.69305
step 380, train : gen_loss is 0.693142, disc_loss is 2.07946,, cls_loss is 2.693
step 390, train : gen_loss is 0.693143, disc_loss is 2.07946,, cls_loss is 2.69324
step 400, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69307
step 410, train : gen_loss is 0.693142, disc_loss is 2.07944,, cls_loss is 2.69298
step 420, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.693
step 430, train : gen_loss is 0.693144, disc_loss is 2.07946,, cls_loss is 2.69299
step 440, train : gen_loss is 0.693139, disc_loss is 2.07944,, cls_loss is 2.69299
step 450, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69298
step 460, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69298
step 470, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69299
step 480, train : gen_loss is 0.693142, disc_loss is 2.07945,, cls_loss is 2.69299
step 490, train : gen_loss is 0.693144, disc_loss is 2.07946,, cls_loss is 2.69464
step 500, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69416
step 510, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69337
step 520, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69307
step 530, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69301
step 540, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69299
step 550, train : gen_loss is 0.693143, disc_loss is 2.07944,, cls_loss is 2.69299
step 560, train : gen_loss is 0.693136, disc_loss is 2.07944,, cls_loss is 2.69298
step 570, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69298
step 580, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69298
step 590, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69298
step 600, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69298
step 610, train : gen_loss is 0.693144, disc_loss is 2.07943,, cls_loss is 2.69298
step 620, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69299
step 630, train : gen_loss is 0.693144, disc_loss is 2.07944,, cls_loss is 2.69298
