step 0, train : gen_loss is 0.468927, disc_loss is 2.29919,, cls_loss is 1.32502
step 10, train : gen_loss is 0.485027, disc_loss is 2.07979,, cls_loss is 1.31016
step 20, train : gen_loss is 0.485145, disc_loss is 2.0795,, cls_loss is 1.31063
step 30, train : gen_loss is 0.485168, disc_loss is 2.07951,, cls_loss is 1.30937
step 40, train : gen_loss is 0.485197, disc_loss is 2.07944,, cls_loss is 1.30887
step 50, train : gen_loss is 0.485197, disc_loss is 2.07947,, cls_loss is 1.30872
step 60, train : gen_loss is 0.485198, disc_loss is 2.07944,, cls_loss is 1.30826
step 70, train : gen_loss is 0.4852, disc_loss is 2.07945,, cls_loss is 1.30805
step 80, train : gen_loss is 0.485198, disc_loss is 2.07945,, cls_loss is 1.30797
step 90, train : gen_loss is 0.485199, disc_loss is 2.07945,, cls_loss is 1.30818
step 100, train : gen_loss is 0.4852, disc_loss is 2.07945,, cls_loss is 1.30802
step 110, train : gen_loss is 0.4852, disc_loss is 2.07944,, cls_loss is 1.30794
step 120, train : gen_loss is 0.4852, disc_loss is 2.07944,, cls_loss is 1.30829
step 130, train : gen_loss is 0.4852, disc_loss is 2.07944,, cls_loss is 1.30809
step 140, train : gen_loss is 0.4852, disc_loss is 2.07955,, cls_loss is 1.30794
step 150, train : gen_loss is 0.485191, disc_loss is 2.07948,, cls_loss is 1.30795
step 160, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.3079
step 170, train : gen_loss is 0.485199, disc_loss is 2.07944,, cls_loss is 1.30788
step 180, train : gen_loss is 0.4852, disc_loss is 2.07944,, cls_loss is 1.30789
step 190, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30788
step 200, train : gen_loss is 0.4852, disc_loss is 2.07945,, cls_loss is 1.30788
step 210, train : gen_loss is 0.4852, disc_loss is 2.07944,, cls_loss is 1.3079
step 220, train : gen_loss is 0.4852, disc_loss is 2.07945,, cls_loss is 1.30787
step 230, train : gen_loss is 0.4852, disc_loss is 2.07944,, cls_loss is 1.30794
step 240, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30821
step 250, train : gen_loss is 0.4852, disc_loss is 2.07944,, cls_loss is 1.308
step 260, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.3079
step 270, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30789
step 280, train : gen_loss is 0.4852, disc_loss is 2.07944,, cls_loss is 1.30789
step 290, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30799
step 300, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30791
step 310, train : gen_loss is 0.4852, disc_loss is 2.07944,, cls_loss is 1.30788
step 320, train : gen_loss is 0.485201, disc_loss is 2.07946,, cls_loss is 1.3079
step 330, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30788
step 340, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30792
step 350, train : gen_loss is 0.485198, disc_loss is 2.07944,, cls_loss is 1.30788
step 360, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.3079
step 370, train : gen_loss is 0.4852, disc_loss is 2.07944,, cls_loss is 1.30788
step 380, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30788
step 390, train : gen_loss is 0.485201, disc_loss is 2.07945,, cls_loss is 1.30788
step 400, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30793
step 410, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30788
step 420, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30788
step 430, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30787
step 440, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30787
step 450, train : gen_loss is 0.485199, disc_loss is 2.07944,, cls_loss is 1.30787
step 460, train : gen_loss is 0.485201, disc_loss is 2.07951,, cls_loss is 1.30787
step 470, train : gen_loss is 0.485201, disc_loss is 2.07944,, cls_loss is 1.30787
